Date,SP500,RFR,VOL,Expiration,F,Exercise,Price,PreviousPrice,Returns
2017-03-17,2378.25,0.0070799999999999995,0.1128,2017-04-21,2379.8640460169445,2450.0,9.572188709350769,,0.0
2017-03-20,2373.47,0.0070999999999999995,0.1134,2017-04-21,2374.9468518466156,2450.0,7.732400184741209,7.732400184741209,-0.19220144738813272
2017-03-21,2344.02,0.00753,0.1247,2017-04-21,2345.518533802445,2450.0,4.885770741035628,4.885770741035628,-0.3681430572260085
2017-03-22,2348.45,0.0074800000000000005,0.12810000000000002,2017-04-21,2349.8932692627786,2450.0,5.618708634677148,5.618708634677148,0.15001479448996013
2017-03-23,2345.96,0.0074800000000000005,0.13119999999999998,2017-04-21,2347.3536667634094,2450.0,5.4170761407923465,5.4170761407923465,-0.03588591382731254
2017-03-24,2343.98,0.0074800000000000005,0.12960000000000002,2017-04-21,2345.324459820882,2450.0,4.658036354979913,4.658036354979913,-0.1401198296063474
2017-03-27,2341.5901,0.00758,0.125,2017-04-21,2342.8052853601826,2450.0,3.07929288152377,3.07929288152377,-0.33892897202665795
2017-03-28,2358.5701,0.007730000000000001,0.1153,2017-04-21,2359.76838355462,2450.0,3.4480891414395103,3.4480891414395103,0.11976654189946467
2017-03-29,2361.1299,0.00755,0.1142,2017-04-21,2362.2527136555946,2450.0,3.3235472697072908,3.3235472697072908,-0.03611909861478391
2017-03-30,2368.0601,0.00758,0.11539999999999999,2017-04-21,2369.1415178344528,2450.0,3.945601087127386,3.945601087127386,0.18716562965414973
2017-03-31,2362.72,0.00738,0.12369999999999999,2017-04-21,2363.7227434433794,2450.0,3.931843959007722,3.931843959007722,-0.0034867002050833484
2017-04-03,2358.8401,0.0074,0.12380000000000001,2017-04-28,2360.03516078656,2430.0,7.7567354975256535,2.6067456611435773,-0.33701701076625623
2017-04-04,2360.1599,0.0078000000000000005,0.11789999999999999,2017-04-28,2361.3698525671903,2430.0,6.6495927114878555,6.6495927114878555,-0.14273308486424074
2017-04-05,2352.95,0.0078000000000000005,0.12890000000000001,2017-04-28,2354.1059833352956,2430.0,6.678880506377027,6.678880506377027,0.00440444943922258
2017-04-06,2357.49,0.00788,0.12390000000000001,2017-04-28,2358.609210052986,2430.0,6.288728735911832,6.288728735911832,-0.05841574349064582
2017-04-07,2355.54,0.007980000000000001,0.12869999999999998,2017-04-28,2356.620990999342,2430.0,6.224681562994931,6.224681562994931,-0.010184438796216333
2017-04-10,2357.1599,0.00788,0.1405,2017-05-19,2359.1440402346393,2430.0,17.216790441895,6.664451238691413,0.070649345070255
