Date,SP500,RFR,VOL,Expiration,F,Exercise,Price,PreviousPrice,Returns
2017-06-08,2433.79,0.00973,0.10160000000000001,2017-06-30,2435.2167755791215,2415.0,35.54673498058855,35.54673498058855,-0.01860030147663183
2017-06-09,2431.77,0.0098,0.107,2017-06-30,2433.1405661437707,2415.0,34.90940862148227,34.90940862148227,-0.017929251714800754
2017-06-12,2429.3899,0.00973,0.11460000000000001,2017-07-21,2431.9151830580954,2430.0,37.24173407718945,33.12932567724556,-0.05099149525957003
2017-06-13,2440.3501,0.00983,0.1042,2017-07-21,2442.8471148236017,2430.0,39.45117311162039,39.45117311162039,0.05932696447086827
2017-06-14,2437.9199,0.00983,0.10640000000000001,2017-07-21,2440.348750026131,2430.0,38.292687960694366,38.292687960694366,-0.029365036817746493
2017-06-15,2432.46,0.00993,0.109,2017-07-21,2434.841879448284,2430.0,35.64770678032028,35.64770678032028,-0.06907274785956619
2017-06-16,2433.1499,0.00985,0.1038,2017-07-21,2435.4475712575017,2430.0,33.95059642559136,33.95059642559136,-0.0476078409527827
2017-06-19,2453.46,0.00985,0.1037,2017-07-21,2455.5781776010303,2430.0,44.385855902594585,44.385855902594585,0.3073660134328986
2017-06-20,2437.03,0.00993,0.1086,2017-07-21,2439.084776622643,2430.0,35.45328901149742,35.45328901149742,-0.20124804871848856
2017-06-21,2435.6101,0.00968,0.1075,2017-07-21,2437.5473550998117,2430.0,33.81028612646037,33.81028612646037,-0.04634274931457627
2017-06-22,2434.5,0.009330000000000001,0.1048,2017-07-21,2436.3040977473793,2430.0,31.902120445033006,31.902120445033006,-0.05643743073602703
2017-06-23,2438.3,0.009330000000000001,0.1002,2017-07-21,2440.044584099687,2430.0,32.246056835427,32.246056835427,0.0107809883981409
2017-06-26,2439.0701,0.009330000000000001,0.099,2017-07-21,2440.6281966310858,2430.0,30.813794201742894,30.813794201742894,-0.044416675223078905
2017-06-27,2419.3799,0.0099,0.1106,2017-07-21,2420.9542509290964,2430.0,23.1311223252726,23.1311223252726,-0.24932573464243324
2017-06-28,2440.6899,0.00985,0.1003,2017-07-21,2442.2042321426025,2430.0,31.026197246945458,31.026197246945458,0.34131828151921795
2017-06-29,2419.7,0.010029999999999999,0.1144,2017-07-21,2421.162265071762,2430.0,22.96344681092046,22.96344681092046,-0.2598691155042786
2017-06-30,2423.4099,0.00993,0.1118,2017-07-21,2424.7938779690057,2430.0,23.425964986016197,23.425964986016197,0.020141496130963388
2017-07-03,2429.01,0.01,0.11220000000000001,2017-07-31,2430.8727886573356,2430.0,30.534896346142204,24.238556934042663,0.034687661682732296
2017-07-05,2432.54,0.0102,0.1107,2017-07-31,2434.3068552078003,2430.0,30.839099159169564,30.839099159169564,0.009962464243497893
2017-07-06,2409.75,0.01008,0.12539999999999998,2017-07-31,2411.413152725932,2430.0,23.23566071455764,23.23566071455764,-0.24655189846397152
2017-07-07,2425.1799,0.01008,0.1119,2017-07-31,2426.786727821617,2430.0,26.193409777631814,26.193409777631814,0.12729352091206425
2017-07-10,2427.4299,0.010129999999999998,0.11109999999999999,2017-07-31,2428.8441027918016,2430.0,25.229838240596564,25.229838240596564,-0.036786792754951114
2017-07-11,2425.53,0.010329999999999999,0.10890000000000001,2017-07-31,2426.902364818401,2430.0,23.156406300784965,23.156406300784965,-0.08218173735554524
