Date,Returns,w_SP500,w_c1,w_c2,w_c3,w_c4,w_RFR
2017-06-22,3.685283933374528e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-06-23,3.685283933374528e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-06-26,3.685283933374528e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-06-27,3.90932881320083e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-06-28,3.889680793833783e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-06-29,3.960409129399878e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-06-30,3.921117159766396e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-03,3.948621945371045e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-05,4.0271965861427006e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-06,3.980053661223337e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-07,3.980053661223337e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-10,3.9996972245104345e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-11,4.0782617941381716e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-12,4.038981445830814e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-13,3.9996972245104345e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-14,3.980053661223337e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-17,4.0271965861427006e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-18,4.105755733907479e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-19,4.282457201809642e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-20,4.3923652435884364e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-21,4.490471810059127e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-24,4.5375543826331466e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-25,4.510090224796315e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-26,4.321713554444884e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-27,4.254975453377163e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-28,4.1568108747336296e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-31,4.1568108747336296e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-01,4.176445725434519e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-02,4.145029499813546e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-03,4.176445725434519e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-04,4.1568108747336296e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-07,4.0782617941381716e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-08,4.066478096254045e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-09,4.0468378253111226e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-10,4.0193398193499874e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-11,3.9996972245104345e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-14,3.960409129399878e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-15,3.980053661223337e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-16,3.889680793833783e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-17,3.86217193881766e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-18,3.90146972173433e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-21,3.81107902560629e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-22,3.928975863698447e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-23,3.870031805486285e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-24,3.940763628951238e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-25,3.928975863698447e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-28,3.968267058374053e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-29,3.987911202774086e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-30,3.940763628951238e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-31,3.86217193881766e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-01,3.889680793833783e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-05,3.881821314788425e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-06,4.097900516142339e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-07,4.038981445830814e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-08,4.0271965861427006e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-11,4.0271965861427006e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-12,4.0193398193499874e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-13,4.0193398193499874e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-14,4.058622104063936e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-15,3.987911202774086e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-18,3.948621945371045e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-19,4.0193398193499874e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-20,4.0271965861427006e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-21,3.980053661223337e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-22,3.960409129399878e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-25,3.940763628951238e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-26,4.117538270165255e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-27,4.097900516142339e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-28,4.066478096254045e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-09-29,4.058622104063936e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-02,3.9996972245104345e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-03,4.0861173990824895e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-04,4.117538270165255e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-05,4.117538270165255e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-06,4.117538270165255e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-09,4.1253931007734224e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-10,4.164664931138873e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-11,4.215712524180404e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-12,4.1568108747336296e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-13,4.145029499813546e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-16,4.164664931138873e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-17,4.23534447242524e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-18,4.215712524180404e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-19,4.203932890911588e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-20,4.243196980868724e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-23,4.223565419558817e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-24,4.333489706054294e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-25,4.274605467102788e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-26,4.262827574930128e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-27,4.23534447242524e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-30,4.243196980868724e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-10-31,4.431610769128902e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-01,4.490471810059127e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-02,4.490471810059127e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-03,4.529707673572858e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-06,4.568939673621486e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-07,4.686612500526266e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-08,4.714064493471781e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-09,4.745435883779514e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-10,4.733671901879788e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-13,4.6748467816604133e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-14,4.890496441523062e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-15,4.851296093222324e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-16,4.851296093222324e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-17,4.890496441523062e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-20,4.890496441523062e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-21,5.039422600594534e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-22,4.988480441925347e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-24,4.890496441523062e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-27,4.823853554403179e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-28,4.988480441925347e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-29,4.961047350704462e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-11-30,4.8826566804160976e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-01,4.870896749475939e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-04,4.910095169452511e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-05,5.05901400433828e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-06,4.980642608587438e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-07,4.968885569511805e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-08,4.9414511290146734e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-11,4.980642608587438e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-12,5.164790941170061e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-13,5.019830233443656e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-14,5.05901400433828e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-15,5.0668502961093154e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-18,5.1843761814440725e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-19,5.3331925535138325e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-20,5.321445913253342e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-21,5.203960459021495e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-22,5.117782436170337e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-26,5.137369987284757e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-27,5.548486272188846e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-28,5.399750307555351e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-29,5.341023454619176e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-02,5.4310677567226406e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-03,5.399750307555351e-05,0.0,0.0,0.0,0.0,0.0,1.0
