----- Base data -----
Date,SP500,RFR,VOL,Returns
2018-08-16,2840.6899,0.02015,0.1345,2018-09-21,2846.3372211741425,2830.0,40.00264336712462,40.00264336712462,-0.278121130223814
2018-08-17,2850.1299,0.019950000000000002,0.1264,2018-09-21,2855.5837170016916,2830.0,32.68643196083167,32.68643196083167,-0.1828931988105975
2018-08-20,2857.05,0.01993,0.12490000000000001,2018-09-21,2862.043029217821,2830.0,27.83377194331638,27.83377194331638,-0.14846098905289684
2018-08-21,2862.96,0.020350000000000004,0.1286,2018-09-21,2867.9091004425304,2830.0,26.2366022296236,26.2366022296236,-0.057382438749064346
2018-08-22,2861.8201,0.020350000000000004,0.1225,2018-09-21,2866.607511694374,2830.0,24.190212567504318,24.190212567504318,-0.07799751066122107
2018-08-23,2856.98,0.02033,0.1241,2018-09-21,2861.5953315896095,2830.0,25.842561351862514,25.842561351862514,0.06830650122429516
2018-08-24,2874.6899,0.02048,0.1199,2018-09-21,2879.2066882023228,2830.0,18.15672595070862,18.15672595070862,-0.29740997018470705
2018-08-27,2896.74,0.0206,0.1216,2018-09-21,2900.82726440316,2830.0,11.3910948548222,11.3910948548222,-0.3726239584302572
2018-08-28,2897.52,0.02078,0.125,2018-09-21,2901.4790367560367,2830.0,11.445503202464806,11.445503202464806,0.004776393168175019
2018-08-29,2914.04,0.020800000000000003,0.1225,2018-09-21,2917.859274762745,2920.0,36.82720864169096,7.425592285020798,-0.3512218594791283
2018-08-30,2901.1299,0.020579999999999998,0.1353,2018-09-21,2904.728339479686,2920.0,46.636872231371626,46.636872231371626,0.2663700006460832
2018-08-31,2901.52,0.020550000000000002,0.1286,2018-09-21,2904.950228522403,2920.0,43.80194408722173,43.80194408722173,-0.060787269997126914
2018-09-04,2896.72,0.02068,0.1316,2018-09-28,2900.6588838396724,2900.0,38.64930676652921,44.16743710258811,0.008344219029150501
2018-09-05,2888.6001,0.0209,0.1391,2018-09-28,2892.4042456370125,2900.0,44.182031273792745,44.182031273792745,0.1431519727038144
2018-09-06,2878.05,0.020800000000000003,0.14650000000000002,2018-09-28,2881.657997309822,2900.0,51.2138864956255,51.2138864956255,0.15915644933246442
2018-09-07,2871.6799,0.020880000000000003,0.14880000000000002,2018-09-28,2875.1294012180238,2900.0,54.660720793686096,54.660720793686096,0.0673027284964014
2018-09-10,2877.1299,0.02083,0.1416,2018-10-19,2883.53618388417,2885.0,53.85144565997712,47.017587499927686,-0.1398286225058577
2018-09-11,2887.8899,0.02108,0.1322,2018-10-19,2894.230362366183,2885.0,44.57724574703684,44.57724574703684,-0.17221821622948452
2018-09-12,2888.9199,0.02105,0.13140000000000002,2018-10-19,2895.0867334832424,2885.0,43.24728212724267,43.24728212724267,-0.029835033490883234
2018-09-13,2904.1799,0.02093,0.12369999999999999,2018-10-19,2910.1771624308612,2885.0,33.35088647075486,33.35088647075486,-0.2288327767597167
2018-09-14,2904.98,0.021030000000000004,0.1207,2018-10-19,2910.8400039222606,2885.0,31.434052372714177,31.434052372714177,-0.05747475707194594
2018-09-17,2888.8,0.02108,0.1368,2018-10-19,2894.1400944028637,2885.0,42.16881567482778,42.16881567482778,0.3415010948900672
2018-09-18,2904.3101,0.02125,0.12789999999999999,2018-10-19,2909.5529216664772,2885.0,31.840646392943427,31.840646392943427,-0.24492433843831296
2018-09-19,2907.95,0.0212,0.11750000000000001,2018-10-19,2913.017946171594,2885.0,26.481893954739007,26.481893954739007,-0.1682991096371722
2018-09-20,2930.75,0.02118,0.11800000000000001,2018-10-19,2935.682620664086,2885.0,18.4072075863985,18.4072075863985,-0.30491347719091366
2018-09-21,2929.6699,0.021230000000000002,0.1168,2018-10-19,2934.4417847097016,2885.0,17.853196164725546,17.853196164725546,-0.030097526692876686
2018-09-24,2919.3701,0.021230000000000002,0.122,2018-10-19,2923.6153621332523,2885.0,20.80492070810783,20.80492070810783,0.1653331154907891
2018-09-25,2915.5601,0.02168,0.1242,2018-10-19,2919.716445761568,2885.0,22.043288569174138,22.043288569174138,0.05952283493124333
