Date,Returns,w_SP500,w_c1,w_c2,w_c3,w_c4,w_RFR
2017-03-17,2.799663981001288e-05,0.0,0.0,0.0,0.5,0.5,0.0
2017-03-20,-0.0919381318736891,0.0,0.0,0.0,0.5,0.5,0.0
2017-03-21,0.3636396855651366,0.0,0.0,0.0,0.0,0.0,1.0
2017-03-22,2.9572514738562816e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-03-23,2.9572514738562816e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-03-24,2.9572514738562816e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-03-27,2.9966386097646236e-05,0.0,0.0,0.0,0.5,0.5,0.0
2017-03-28,-0.15584095623308714,0.0,0.0,0.0,0.0,0.0,1.0
2017-03-29,2.9848228778162067e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-03-30,2.9966386097646236e-05,0.0,0.0,0.0,0.5,0.5,0.0
2017-03-31,0.14345185800296656,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-03,-0.20514854013984235,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-04,-0.17405727501645352,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-05,0.22401838575666677,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-06,-0.15007431936354815,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-07,0.04306619073219936,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-10,0.031622198055131334,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-11,0.12331593090143989,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-12,0.06772936853477435,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-13,0.002133838879451677,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-17,-0.21522772353702652,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-18,-0.0676229562355849,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-19,0.037488696558288515,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-20,-0.09382454050656586,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-21,0.04063923204764186,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-24,-0.5291828966690154,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-25,-0.04198586022685996,0.0,0.0,0.0,0.5,0.5,0.0
2017-04-26,-0.035754947948941795,0.0,0.0,0.0,0.5,0.5,0.0
