Date,SP500,RFR,VOL,Expiration,F,Exercise,Price,PreviousPrice,Returns
2017-03-17,2378.25,0.0070799999999999995,0.1128,2017-04-21,2379.8640460169445,2380.0,33.19679182357618,,0.0
2017-03-20,2373.47,0.0070999999999999995,0.1134,2017-04-21,2374.9468518466156,2380.0,34.403480715539445,34.403480715539445,0.03634956348722462
2017-03-21,2344.02,0.00753,0.1247,2017-04-21,2345.518533802445,2380.0,54.17401308317608,54.17401308317608,0.5746666312954385
2017-03-22,2348.45,0.0074800000000000005,0.12810000000000002,2017-04-21,2349.8932692627786,2380.0,51.718586574129404,51.718586574129404,-0.04532480370757719
2017-03-23,2345.96,0.0074800000000000005,0.13119999999999998,2017-04-21,2347.3536667634094,2380.0,53.55465109867373,53.55465109867373,0.03550105766932843
2017-03-24,2343.98,0.0074800000000000005,0.12960000000000002,2017-04-21,2345.324459820882,2380.0,53.9169517409664,53.9169517409664,0.006765064002099974
2017-03-27,2341.5901,0.00758,0.125,2017-04-21,2342.8052853601826,2380.0,52.88216909710786,52.88216909710786,-0.019192157761995676
2017-03-28,2358.5701,0.007730000000000001,0.1153,2017-04-21,2359.76838355462,2380.0,39.19564136694248,39.19564136694248,-0.2588117689543469
2017-03-29,2361.1299,0.00755,0.1142,2017-04-21,2362.2527136555946,2380.0,36.88260296951012,36.88260296951012,-0.059012643160450406
2017-03-30,2368.0601,0.00758,0.11539999999999999,2017-04-21,2369.1415178344528,2380.0,32.59216741514933,32.59216741514933,-0.11632681017409685
2017-03-31,2362.72,0.00738,0.12369999999999999,2017-04-21,2363.7227434433794,2380.0,36.935932660765275,36.935932660765275,0.1332763541094506
2017-04-03,2358.8401,0.0074,0.12380000000000001,2017-04-28,2360.03516078656,2360.0,30.46011046899912,37.37031414590638,0.011760403862835833
2017-04-04,2360.1599,0.0078000000000000005,0.11789999999999999,2017-04-28,2361.3698525671903,2360.0,27.767459293705315,27.767459293705315,-0.08839925836888418
2017-04-05,2352.95,0.0078000000000000005,0.12890000000000001,2017-04-28,2354.1059833352956,2360.0,33.43602007342156,33.43602007342156,0.20414402051545522
2017-04-06,2357.49,0.00788,0.12390000000000001,2017-04-28,2358.609210052986,2360.0,29.30654641219712,29.30654641219712,-0.12350374393114383
2017-04-07,2355.54,0.007980000000000001,0.12869999999999998,2017-04-28,2356.620990999342,2360.0,30.73934742699589,30.73934742699589,0.04889013514749907
2017-04-10,2357.1599,0.00788,0.1405,2017-05-19,2359.1440402346393,2360.0,43.60604717255933,30.313021489204857,-0.013869062731521442
2017-04-11,2353.78,0.008,0.1507,2017-05-19,2355.7398822197756,2360.0,47.840836357962644,47.840836357962644,0.09711472284211564
2017-04-12,2344.9299,0.007930000000000001,0.1577,2017-05-19,2346.814369010188,2360.0,53.961965862429224,53.961965862429224,0.12794779461349814
2017-04-13,2328.95,0.0079,0.15960000000000002,2017-05-19,2330.7641309129035,2360.0,62.889681824518675,62.889681824518675,0.16544460194148214
2017-04-17,2349.01,0.0079,0.1466,2017-05-19,2350.636379955407,2360.0,45.5910853904802,45.5910853904802,-0.2750625529050508
2017-04-18,2342.1899,0.00805,0.1442,2017-05-19,2343.7907027569177,2360.0,48.01466662489338,48.01466662489338,0.05315910366370091
2017-04-19,2338.1699,0.007850000000000001,0.1493,2017-05-19,2339.6779535678997,2360.0,51.053314618218565,51.053314618218565,0.06328582924597015
2017-04-20,2355.8401,0.0077,0.14150000000000001,2017-05-19,2357.2808116588544,2360.0,38.86636715635518,38.86636715635518,-0.2387102101596832
2017-04-21,2348.6899,0.0076300000000000005,0.1463,2017-05-19,2350.0640844936715,2360.0,43.2033285481873,43.2033285481873,0.11158648747347533
