Date,Returns,w_SP500,w_c1,w_c2,w_c3,w_c4,w_RFR
2017-06-21,-0.0252042026165617,0.0,0.5,0.5,0.0,0.0,0.0
2017-06-22,-0.0408998262611715,0.0,0.5,0.5,0.0,0.0,0.0
2017-06-23,-0.06089231399617784,0.0,0.5,0.5,0.0,0.0,0.0
2017-06-26,-0.0676021685311829,0.0,0.5,0.5,0.0,0.0,0.0
2017-06-27,0.1719491410579322,0.0,0.5,0.5,0.0,0.0,0.0
2017-06-28,-0.036693148023784206,0.0,0.5,0.5,0.0,0.0,0.0
2017-06-29,0.2143732889919568,0.0,0.5,0.5,0.0,0.0,0.0
2017-06-30,-0.03972709016108411,0.0,0.5,0.5,0.0,0.0,0.0
2017-07-03,-0.06295553297779227,0.0,0.5,0.5,0.0,0.0,0.0
2017-07-05,-0.04773478015384719,0.0,0.5,0.5,0.0,0.0,0.0
2017-07-06,0.16453459840960988,0.0,0.5,0.5,0.0,0.0,0.0
2017-07-07,-0.08470562697520534,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-10,3.9996972245104345e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-11,4.0782617941381716e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-12,4.038981445830814e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-13,3.9996972245104345e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-14,3.980053661223337e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-17,4.0271965861427006e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-18,4.105755733907479e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-07-19,4.282457201809642e-05,0.0,0.5,0.5,0.0,0.0,0.0
2017-07-20,-0.040782587775273715,0.0,0.5,0.5,0.0,0.0,0.0
2017-07-21,-0.04126607622892886,0.0,0.5,0.5,0.0,0.0,0.0
2017-07-24,-0.04237286096212273,0.0,0.5,0.5,0.0,0.0,0.0
2017-07-25,-0.041701349707719215,0.0,0.5,0.5,0.0,0.0,0.0
2017-07-26,-0.006764130112824618,0.0,0.5,0.5,0.0,0.0,0.0
2017-07-27,0.05125531270311767,0.0,0.5,0.5,0.0,0.0,0.0
2017-07-28,0.011176931152254044,0.0,0.5,0.5,0.0,0.0,0.0
2017-07-31,-0.07802509395555035,0.0,0.5,0.5,0.0,0.0,0.0
2017-08-01,-0.026515758456854,0.0,0.5,0.5,0.0,0.0,0.0
2017-08-02,0.0016548909410955548,0.0,0.5,0.5,0.0,0.0,0.0
2017-08-03,0.0025361248126848923,0.0,0.5,0.5,0.0,0.0,0.0
2017-08-04,-0.0531115283070539,0.0,0.5,0.5,0.0,0.0,0.0
2017-08-07,-0.06573553694569317,0.0,0.5,0.5,0.0,0.0,0.0
2017-08-08,0.09169216497013982,0.0,0.5,0.5,0.0,0.0,0.0
2017-08-09,-0.00847730234501548,0.0,0.5,0.5,0.0,0.0,0.0
2017-08-10,0.5039915708543274,0.0,0.5,0.5,0.0,0.0,0.0
2017-08-11,-0.05324810120048995,0.0,0.5,0.5,0.0,0.0,0.0
2017-08-14,-0.20335616244615884,0.0,0.5,0.5,0.0,0.0,0.0
2017-08-15,-0.03919463411891838,0.0,0.5,0.5,0.0,0.0,0.0
2017-08-16,-0.038514487309602885,0.0,0.5,0.5,0.0,0.0,0.0
2017-08-17,0.37361005678765674,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-18,3.90146972173433e-05,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-21,3.81107902560629e-05,0.0,0.0,0.0,0.0,0.0,1.0
